ID,Date,Time,Weekday,Recipe,Ingredient,Planned Qty,Wastage Qty,Expected Waste Qty,Sales Qty,Unit,Unit Cost,Total Cost,Wastage Cost,Kitchen Station,Shift,Prep Method,Prep Time (mins),Shelf Life (days),Stock Received Date,Expiry Date,Supplier Name,Temperature (°C),Weather Condition,Peak Hour Flag,Branch,Branch Manager,Chef,Status,Chef_Feedback
230,30-Sep-24,15:15,Monday,Fish Fingers,Mixed Veg,27,7,2,19,kg,71,1917,497,Soup Station,Morning,Boiled,12,3,24-Sep-24,27-Sep-24,SpiceKart Foods,22,Rainy,FALSE,Houston - Central,Emily,Chef Lee,,
231,14-Apr-24,10:00,Sunday,Ice Cream Sundae,Ice Cream,13,2,1,11,pieces,49,637,98,Main Course Station,Afternoon,Frozen,11,30,09-Apr-24,09-May-24,GreenLeaf Suppliers,28,Hot,FALSE,Los Angeles - Downtown,James,Chef Maria,,
232,29-Jul-24,07:00,Monday,Chicken Biryani,Chicken,33,1,4,30,kg,231,7623,231,Main Course Station,Morning,Grilled,29,2,27-Jul-24,29-Jul-24,Urban Harvest,32,Hot,FALSE,Houston - Central,Emily,Chef John,,
233,03-Jul-24,11:00,Wednesday,Mutton Curry,Mixed Veg,28,6,2,22,kg,66,1848,396,Main Course Station,Morning,Boiled,28,3,26-Jun-24,29-Jun-24,GreenLeaf Suppliers,22,Cloudy,FALSE,New York - Main,Robert,Chef John,,
234,26-Feb-24,16:00,Monday,Paneer Butter Masala,Paneer,11,2,1,7,kg,266,2926,532,Grill Station,Afternoon,Fried,23,3,21-Feb-24,24-Feb-24,GreenLeaf Suppliers,26,Rainy,FALSE,Houston - Central,Emily,Chef Maria,,
235,26-May-24,14:15,Sunday,Pasta Alfredo,Pasta,24,4,3,20,kg,105,2520,420,Soup Station,Afternoon,Boiled,18,365,19-May-24,19-May-25,SpiceKart Foods,28,Cloudy,FALSE,Los Angeles - Downtown,James,Chef Lee,,
236,25-Dec-24,13:45,Wednesday,Mutton Curry,Mixed Veg,6,0,0,4,kg,77,462,0,Salad Station,Afternoon,Boiled,46,3,22-Dec-24,25-Dec-24,Urban Harvest,32,Hot,TRUE,Houston - Central,Emily,Chef David,,
237,09-Aug-24,06:00,Friday,Tacos,Mixed Veg,28,3,3,25,kg,64,1792,192,Salad Station,Morning,Boiled,44,3,05-Aug-24,08-Aug-24,SpiceKart Foods,31,Sunny,FALSE,Houston - Central,Emily,Chef John,,
238,04-Apr-24,13:45,Thursday,Paneer Butter Masala,Paneer,31,7,2,23,kg,287,8897,2009,Main Course Station,Night,Fried,43,3,30-Mar-24,02-Apr-24,GreenLeaf Suppliers,25,Cloudy,TRUE,Houston - Central,Emily,Chef Lee,,
239,23-Feb-25,21:15,Sunday,Tomato Soup,Tomato,34,9,4,22,kg,45,1530,405,Soup Station,Afternoon,Boiled,43,5,22-Feb-25,27-Feb-25,FreshFarm Co.,32,Hot,FALSE,Houston - Central,Emily,Chef Maria,,
240,30-Jun-24,06:30,Sunday,Fish Fingers,Mixed Veg,23,5,2,16,kg,76,1748,380,Main Course Station,Morning,Boiled,59,3,28-Jun-24,01-Jul-24,Urban Harvest,20,Rainy,FALSE,Los Angeles - Downtown,James,Chef John,,
241,20-Jul-24,22:30,Saturday,Brownie,Chocolate,30,2,2,27,grams,196,5880,392,Soup Station,Morning,Baked,22,90,16-Jul-24,14-Oct-24,GreenLeaf Suppliers,29,Hot,FALSE,Houston - Central,Emily,Chef Anna,,
242,19-Dec-24,21:15,Thursday,Spicy Chicken Wings,Chicken,34,3,3,28,kg,235,7990,705,Grill Station,Morning,Grilled,12,2,18-Dec-24,20-Dec-24,DailyDairy Ltd.,20,Rainy,FALSE,Los Angeles - Downtown,James,Chef Anna,,
243,21-Mar-25,14:00,Friday,Apple Pie,Mixed Veg,48,9,5,37,kg,64,3072,576,Soup Station,Afternoon,Boiled,37,3,17-Mar-25,20-Mar-25,DailyDairy Ltd.,16,Cold,FALSE,New York - Main,Robert,Chef Lee,,
244,21-Nov-24,07:45,Thursday,Tacos,Mixed Veg,46,3,6,42,kg,74,3404,222,Salad Station,Afternoon,Boiled,32,3,18-Nov-24,21-Nov-24,FreshFarm Co.,24,Rainy,FALSE,New York - Main,Robert,Chef John,,
245,15-Jan-25,15:30,Wednesday,Veg Fried Rice,Rice,8,1,0,4,kg,90,720,90,Salad Station,Afternoon,Boiled,35,180,08-Jan-25,07-Jul-25,SpiceKart Foods,28,Sunny,FALSE,Houston - Central,Emily,Chef John,,
246,19-Jun-24,17:30,Wednesday,Chicken Biryani,Chicken,42,9,3,31,kg,221,9282,1989,Main Course Station,Morning,Grilled,11,2,16-Jun-24,18-Jun-24,DailyDairy Ltd.,32,Sunny,FALSE,New York - Main,Robert,Chef John,,
247,21-Nov-24,11:00,Thursday,Chocolate Milkshake,Milk,16,4,1,11,liters,53,848,212,Salad Station,Morning,Boiled,15,4,14-Nov-24,18-Nov-24,Urban Harvest,28,Sunny,FALSE,Los Angeles - Downtown,James,Chef Maria,,
248,05-Jun-24,10:45,Wednesday,Iced Tea,Ice Cream,31,6,4,22,pieces,46,1426,276,Grill Station,Morning,Frozen,20,30,29-May-24,28-Jun-24,SpiceKart Foods,20,Rainy,FALSE,Houston - Central,Emily,Chef Maria,,
249,18-Apr-24,14:45,Thursday,Paneer Butter Masala,Paneer,36,3,4,32,kg,255,9180,765,Pastry Station,Morning,Fried,38,3,17-Apr-24,20-Apr-24,FreshFarm Co.,26,Sunny,FALSE,New York - Main,Robert,Chef Anna,,
250,13-Feb-24,14:45,Tuesday,Tomato Soup,Tomato,45,4,4,38,kg,47,2115,188,Salad Station,Afternoon,Boiled,41,5,12-Feb-24,17-Feb-24,DailyDairy Ltd.,10,Cold,FALSE,Houston - Central,Emily,Chef Lee,,
251,12-Jun-24,06:30,Wednesday,Grilled Chicken,Chicken,31,3,3,28,kg,221,6851,663,Grill Station,Morning,Grilled,10,2,08-Jun-24,10-Jun-24,FreshFarm Co.,25,Sunny,FALSE,New York - Main,Robert,Chef Lee,,
252,07-Sep-24,07:30,Saturday,Iced Tea,Ice Cream,25,5,2,19,pieces,53,1325,265,Pastry Station,Morning,Frozen,25,30,05-Sep-24,05-Oct-24,FreshFarm Co.,25,Cloudy,FALSE,Los Angeles - Downtown,James,Chef Maria,,
253,31-Mar-24,16:45,Sunday,Mushroom Soup,Tomato,14,1,1,13,kg,47,658,47,Main Course Station,Morning,Boiled,49,5,27-Mar-24,01-Apr-24,FreshFarm Co.,22,Cloudy,FALSE,Houston - Central,Emily,Chef Lee,,
254,15-Jul-24,08:00,Monday,Pasta Alfredo,Pasta,33,5,4,27,kg,100,3300,500,Pastry Station,Afternoon,Boiled,45,365,12-Jul-24,12-Jul-25,Urban Harvest,10,Cold,FALSE,Los Angeles - Downtown,James,Chef Anna,,
255,18-Dec-24,06:15,Wednesday,Fish Fingers,Mixed Veg,38,9,5,29,kg,67,2546,603,Pastry Station,Night,Boiled,58,3,13-Dec-24,16-Dec-24,Urban Harvest,26,Cloudy,FALSE,New York - Main,Robert,Chef David,,
256,28-Dec-24,08:45,Saturday,Mutton Curry,Mixed Veg,25,3,3,21,kg,66,1650,198,Grill Station,Morning,Boiled,38,3,23-Dec-24,26-Dec-24,SpiceKart Foods,12,Cold,FALSE,New York - Main,Robert,Chef Lee,,
257,21-Feb-25,18:30,Friday,Chicken Biryani,Chicken,21,3,2,15,kg,243,5103,729,Soup Station,Morning,Grilled,34,2,19-Feb-25,21-Feb-25,SpiceKart Foods,26,Rainy,FALSE,Houston - Central,Emily,Chef Lee,,
258,16-Sep-24,19:30,Monday,Fish Fingers,Mixed Veg,6,1,0,4,kg,73,438,73,Main Course Station,Morning,Boiled,36,3,14-Sep-24,17-Sep-24,DailyDairy Ltd.,20,Rainy,TRUE,New York - Main,Robert,Chef Maria,,
259,18-Oct-24,13:15,Friday,Chocolate Milkshake,Milk,6,1,0,2,liters,59,354,59,Soup Station,Afternoon,Boiled,40,4,16-Oct-24,20-Oct-24,DailyDairy Ltd.,27,Sunny,TRUE,Houston - Central,Emily,Chef David,,
260,23-Aug-24,22:00,Friday,Tacos,Mixed Veg,43,3,5,38,kg,68,2924,204,Pastry Station,Night,Boiled,21,3,19-Aug-24,22-Aug-24,FreshFarm Co.,32,Sunny,FALSE,Houston - Central,Emily,Chef Anna,,
261,11-Apr-24,13:45,Thursday,Cheeseburger,Cheese,40,11,4,29,grams,210,8400,2310,Salad Station,Night,Raw,32,10,08-Apr-24,18-Apr-24,SpiceKart Foods,22,Cloudy,TRUE,New York - Main,Robert,Chef Anna,,
262,29-Jun-24,08:30,Saturday,Ice Cream Sundae,Ice Cream,24,4,3,18,pieces,47,1128,188,Soup Station,Morning,Frozen,13,30,25-Jun-24,25-Jul-24,DailyDairy Ltd.,11,Cold,FALSE,Houston - Central,Emily,Chef David,,
263,14-Apr-25,19:00,Monday,Fish Fingers,Mixed Veg,15,0,1,12,kg,66,990,0,Soup Station,Morning,Boiled,31,3,08-Apr-25,11-Apr-25,Urban Harvest,23,Cloudy,TRUE,Houston - Central,Emily,Chef Maria,,
264,17-Apr-25,14:00,Thursday,Veg Fried Rice,Rice,38,0,4,36,kg,87,3306,0,Salad Station,Afternoon,Boiled,42,180,12-Apr-25,09-Oct-25,FreshFarm Co.,22,Rainy,FALSE,Houston - Central,Emily,Chef Anna,,
265,03-Mar-25,22:30,Monday,Smoothie,Mixed Berries,31,2,3,27,grams,290,8990,580,Soup Station,Morning,Raw,30,3,26-Feb-25,01-Mar-25,Urban Harvest,30,Hot,FALSE,Houston - Central,Emily,Chef Anna,,
266,08-Jan-24,16:45,Monday,Tomato Soup,Tomato,41,6,6,35,kg,43,1763,258,Grill Station,Afternoon,Boiled,47,5,01-Jan-24,06-Jan-24,Urban Harvest,21,Rainy,FALSE,New York - Main,Robert,Chef Anna,,
267,14-Nov-24,10:00,Thursday,Brownie,Chocolate,41,10,4,29,grams,185,7585,1850,Salad Station,Morning,Baked,18,90,09-Nov-24,07-Feb-25,DailyDairy Ltd.,11,Cold,FALSE,Houston - Central,Emily,Chef Maria,,
268,15-Dec-24,16:30,Sunday,Chocolate Milkshake,Milk,9,0,1,9,liters,50,450,0,Main Course Station,Afternoon,Boiled,25,4,11-Dec-24,15-Dec-24,DailyDairy Ltd.,23,Rainy,FALSE,New York - Main,Robert,Chef David,,
269,01-Feb-25,21:00,Saturday,Smoothie,Mixed Berries,12,1,1,8,grams,301,3612,301,Pastry Station,Afternoon,Raw,29,3,27-Jan-25,30-Jan-25,Urban Harvest,10,Cold,FALSE,Los Angeles - Downtown,James,Chef John,,
270,08-Dec-24,19:45,Sunday,Tomato Soup,Tomato,44,4,4,39,kg,42,1848,168,Soup Station,Morning,Boiled,51,5,06-Dec-24,11-Dec-24,Urban Harvest,31,Sunny,TRUE,Houston - Central,Emily,Chef Anna,,
271,06-Apr-24,08:45,Saturday,Soda,Mixed Veg,16,1,2,14,kg,67,1072,67,Main Course Station,Morning,Boiled,12,3,04-Apr-24,07-Apr-24,Urban Harvest,32,Hot,FALSE,Houston - Central,Emily,Chef Anna,,
272,22-Jan-24,08:15,Monday,Tacos,Mixed Veg,16,3,1,11,kg,72,1152,216,Soup Station,Morning,Boiled,45,3,18-Jan-24,21-Jan-24,FreshFarm Co.,26,Rainy,FALSE,Houston - Central,Emily,Chef John,,
273,02-Apr-24,20:00,Tuesday,Mutton Curry,Mixed Veg,18,3,1,13,kg,64,1152,192,Soup Station,Morning,Boiled,39,3,31-Mar-24,03-Apr-24,DailyDairy Ltd.,21,Rainy,TRUE,New York - Main,Robert,Chef David,,
274,30-Mar-25,10:00,Sunday,Chocolate Milkshake,Milk,11,3,1,6,liters,53,583,159,Salad Station,Afternoon,Boiled,38,4,24-Mar-25,28-Mar-25,FreshFarm Co.,31,Hot,FALSE,Los Angeles - Downtown,James,Chef David,,
275,09-Sep-24,07:30,Monday,Apple Pie,Mixed Veg,38,6,4,32,kg,66,2508,396,Main Course Station,Morning,Boiled,29,3,05-Sep-24,08-Sep-24,FreshFarm Co.,33,Hot,FALSE,Houston - Central,Emily,Chef David,,
276,12-Jan-24,17:15,Friday,Mutton Curry,Mixed Veg,34,4,3,28,kg,76,2584,304,Salad Station,Night,Boiled,53,3,08-Jan-24,11-Jan-24,DailyDairy Ltd.,20,Rainy,FALSE,New York - Main,Robert,Chef John,,
277,04-Mar-25,21:30,Tuesday,Pasta Alfredo,Pasta,25,5,2,19,kg,99,2475,495,Pastry Station,Morning,Boiled,32,365,27-Feb-25,27-Feb-26,SpiceKart Foods,25,Sunny,FALSE,Houston - Central,Emily,Chef Lee,,
278,12-Jan-24,10:45,Friday,Iced Tea,Ice Cream,42,12,5,27,pieces,47,1974,564,Grill Station,Night,Frozen,18,30,08-Jan-24,07-Feb-24,GreenLeaf Suppliers,28,Cloudy,FALSE,New York - Main,Robert,Chef Lee,,
279,13-Oct-24,20:00,Sunday,Chicken Biryani,Chicken,37,8,3,28,kg,233,8621,1864,Soup Station,Morning,Grilled,30,2,09-Oct-24,11-Oct-24,FreshFarm Co.,17,Cold,TRUE,Houston - Central,Emily,Chef David,,
280,22-Jun-24,07:00,Saturday,Mutton Curry,Mixed Veg,38,6,3,31,kg,65,2470,390,Grill Station,Night,Boiled,51,3,15-Jun-24,18-Jun-24,SpiceKart Foods,32,Sunny,FALSE,Houston - Central,Emily,Chef Anna,,
281,18-Jan-25,14:15,Saturday,Mushroom Soup,Tomato,45,9,5,36,kg,44,1980,396,Main Course Station,Morning,Boiled,22,5,16-Jan-25,21-Jan-25,GreenLeaf Suppliers,29,Sunny,FALSE,Los Angeles - Downtown,James,Chef Anna,,
282,13-Feb-25,11:15,Thursday,Tacos,Mixed Veg,16,2,2,11,kg,76,1216,152,Grill Station,Morning,Boiled,58,3,06-Feb-25,09-Feb-25,SpiceKart Foods,32,Hot,FALSE,New York - Main,Robert,Chef John,,
283,01-Feb-25,07:00,Saturday,Mutton Curry,Mixed Veg,30,3,3,25,kg,68,2040,204,Pastry Station,Morning,Boiled,34,3,26-Jan-25,29-Jan-25,GreenLeaf Suppliers,25,Sunny,FALSE,New York - Main,Robert,Chef John,,
284,03-Apr-24,13:45,Wednesday,Chocolate Milkshake,Milk,50,7,4,42,liters,50,2500,350,Grill Station,Afternoon,Boiled,24,4,01-Apr-24,05-Apr-24,GreenLeaf Suppliers,27,Cloudy,TRUE,New York - Main,Robert,Chef John,,
285,10-Jun-24,13:15,Monday,Chocolate Milkshake,Milk,24,1,1,21,liters,51,1224,51,Grill Station,Night,Boiled,49,4,04-Jun-24,08-Jun-24,SpiceKart Foods,29,Sunny,TRUE,New York - Main,Robert,Chef John,,
286,16-Apr-25,08:45,Wednesday,Chicken Biryani,Chicken,12,1,1,11,kg,247,2964,247,Salad Station,Morning,Grilled,23,2,13-Apr-25,15-Apr-25,GreenLeaf Suppliers,33,Hot,FALSE,Houston - Central,Emily,Chef John,,
287,27-Sep-24,22:00,Friday,Mutton Curry,Mixed Veg,43,5,3,38,kg,67,2881,335,Main Course Station,Morning,Boiled,16,3,20-Sep-24,23-Sep-24,Urban Harvest,10,Cold,FALSE,Houston - Central,Emily,Chef Anna,,
288,01-Jan-24,06:15,Monday,Fish Fingers,Mixed Veg,43,7,4,33,kg,67,2881,469,Pastry Station,Afternoon,Boiled,16,3,25-Dec-23,28-Dec-23,SpiceKart Foods,25,Rainy,FALSE,New York - Main,Robert,Chef Maria,,
289,06-Jun-24,06:00,Thursday,Cheesecake,Cheese,16,3,2,12,grams,202,3232,606,Soup Station,Night,Raw,10,10,04-Jun-24,14-Jun-24,FreshFarm Co.,18,Cold,FALSE,Houston - Central,Emily,Chef Anna,,
290,05-Mar-25,07:15,Wednesday,Fish Fingers,Mixed Veg,24,3,2,19,kg,63,1512,189,Main Course Station,Morning,Boiled,36,3,03-Mar-25,06-Mar-25,DailyDairy Ltd.,25,Cloudy,FALSE,Houston - Central,Emily,Chef Lee,,
291,20-Mar-25,18:45,Thursday,Grilled Chicken,Chicken,5,1,0,4,kg,219,1095,219,Salad Station,Morning,Grilled,35,2,19-Mar-25,21-Mar-25,Urban Harvest,23,Rainy,FALSE,Houston - Central,Emily,Chef David,,
292,11-Jun-24,08:30,Tuesday,Tacos,Mixed Veg,34,2,4,31,kg,72,2448,144,Salad Station,Afternoon,Boiled,14,3,05-Jun-24,08-Jun-24,SpiceKart Foods,32,Sunny,FALSE,Houston - Central,Emily,Chef Maria,,
293,17-Jun-24,11:15,Monday,Spicy Chicken Wings,Chicken,7,0,0,7,kg,218,1526,0,Grill Station,Night,Grilled,20,2,13-Jun-24,15-Jun-24,DailyDairy Ltd.,22,Cloudy,FALSE,Houston - Central,Emily,Chef Maria,,
294,16-Jan-24,20:15,Tuesday,Brownie,Chocolate,14,2,1,12,grams,183,2562,366,Salad Station,Afternoon,Baked,52,90,14-Jan-24,13-Apr-24,Urban Harvest,10,Cold,TRUE,Houston - Central,Emily,Chef David,,
295,18-Feb-24,07:45,Sunday,Iced Tea,Ice Cream,49,3,5,45,pieces,47,2303,141,Salad Station,Night,Frozen,50,30,16-Feb-24,17-Mar-24,DailyDairy Ltd.,31,Sunny,FALSE,Houston - Central,Emily,Chef John,,
296,07-Aug-24,19:15,Wednesday,Chicken Biryani,Chicken,14,2,1,10,kg,240,3360,480,Soup Station,Afternoon,Grilled,15,2,05-Aug-24,07-Aug-24,SpiceKart Foods,22,Cloudy,TRUE,Houston - Central,Emily,Chef David,,
297,14-Aug-24,17:15,Wednesday,Fish Fingers,Mixed Veg,18,3,2,12,kg,69,1242,207,Soup Station,Afternoon,Boiled,11,3,09-Aug-24,12-Aug-24,FreshFarm Co.,27,Cloudy,FALSE,New York - Main,Robert,Chef Anna,,
298,26-Sep-24,07:15,Thursday,Pasta Alfredo,Pasta,6,1,0,2,kg,121,726,121,Soup Station,Morning,Boiled,20,365,22-Sep-24,22-Sep-25,Urban Harvest,10,Cold,FALSE,New York - Main,Robert,Chef David,,
299,22-Oct-24,19:15,Tuesday,Ice Cream Sundae,Ice Cream,14,1,1,10,pieces,46,644,46,Main Course Station,Morning,Frozen,20,30,19-Oct-24,18-Nov-24,FreshFarm Co.,12,Cold,TRUE,Houston - Central,Emily,Chef Anna,,
300,20-Dec-24,08:45,Friday,Iced Tea,Ice Cream,46,7,6,38,pieces,49,2254,343,Soup Station,Morning,Frozen,21,30,13-Dec-24,12-Jan-25,GreenLeaf Suppliers,12,Cold,FALSE,Los Angeles - Downtown,James,Chef John,,
301,18-May-25,16:15,Sunday,Veg Fried Rice,Rice,19,1,1,16,kg,87,1653,87,Pastry Station,Morning,Boiled,45,180,17-May-25,13-Nov-25,GreenLeaf Suppliers,26,Sunny,FALSE,New York - Main,Robert,Chef Anna,,
302,15-Oct-24,07:00,Tuesday,Mushroom Soup,Tomato,22,2,2,19,kg,48,1056,96,Salad Station,Morning,Boiled,57,5,13-Oct-24,18-Oct-24,SpiceKart Foods,28,Hot,FALSE,Houston - Central,Emily,Chef John,,
303,14-May-24,12:15,Tuesday,Chicken Biryani,Chicken,16,2,1,11,kg,240,3840,480,Soup Station,Morning,Grilled,46,2,13-May-24,15-May-24,DailyDairy Ltd.,25,Rainy,TRUE,New York - Main,Robert,Chef John,,
304,19-Feb-25,22:30,Wednesday,Mushroom Soup,Tomato,27,3,2,21,kg,49,1323,147,Pastry Station,Afternoon,Boiled,39,5,14-Feb-25,19-Feb-25,Urban Harvest,24,Rainy,FALSE,New York - Main,Robert,Chef David,,
305,01-Mar-24,19:15,Friday,Cheeseburger,Cheese,36,4,4,29,grams,200,7200,800,Pastry Station,Night,Raw,44,10,26-Feb-24,07-Mar-24,Urban Harvest,24,Cloudy,TRUE,Houston - Central,Emily,Chef John,,
306,03-Aug-24,17:00,Saturday,Grilled Chicken,Chicken,22,5,2,14,kg,216,4752,1080,Soup Station,Morning,Grilled,30,2,31-Jul-24,02-Aug-24,SpiceKart Foods,15,Cold,FALSE,Houston - Central,Emily,Chef Maria,,
307,28-May-25,22:15,Wednesday,Spicy Chicken Wings,Chicken,12,0,1,12,kg,249,2988,0,Soup Station,Morning,Grilled,11,2,25-May-25,27-May-25,DailyDairy Ltd.,31,Sunny,FALSE,New York - Main,Robert,Chef John,,
308,11-Sep-24,22:30,Wednesday,Smoothie,Mixed Berries,42,4,5,35,grams,276,11592,1104,Main Course Station,Morning,Raw,40,3,07-Sep-24,10-Sep-24,FreshFarm Co.,30,Sunny,FALSE,Houston - Central,Emily,Chef Lee,,
309,17-Jan-25,21:15,Friday,Smoothie,Mixed Berries,9,2,1,7,grams,283,2547,566,Main Course Station,Morning,Raw,24,3,12-Jan-25,15-Jan-25,SpiceKart Foods,29,Sunny,FALSE,Houston - Central,Emily,Chef Lee,,
310,04-May-24,12:30,Saturday,Apple Pie,Mixed Veg,45,6,5,39,kg,71,3195,426,Salad Station,Night,Boiled,13,3,30-Apr-24,03-May-24,DailyDairy Ltd.,12,Cold,TRUE,New York - Main,Robert,Chef David,,
311,07-May-24,21:00,Tuesday,Apple Pie,Mixed Veg,18,4,1,14,kg,70,1260,280,Salad Station,Morning,Boiled,56,3,03-May-24,06-May-24,DailyDairy Ltd.,28,Cloudy,FALSE,Houston - Central,Emily,Chef David,,
312,09-Feb-24,13:30,Friday,Tomato Soup,Tomato,49,7,6,41,kg,44,2156,308,Grill Station,Morning,Boiled,39,5,04-Feb-24,09-Feb-24,Urban Harvest,17,Cold,TRUE,Los Angeles - Downtown,James,Chef Maria,,
313,02-May-25,07:15,Friday,Mutton Curry,Mixed Veg,19,0,1,18,kg,75,1425,0,Main Course Station,Night,Boiled,55,3,26-Apr-25,29-Apr-25,FreshFarm Co.,18,Cold,FALSE,Houston - Central,Emily,Chef Anna,,
314,29-Aug-24,19:00,Thursday,Spicy Chicken Wings,Chicken,31,3,3,25,kg,223,6913,669,Main Course Station,Morning,Grilled,46,2,28-Aug-24,30-Aug-24,Urban Harvest,25,Sunny,TRUE,Los Angeles - Downtown,James,Chef Maria,,
315,13-Jul-24,15:30,Saturday,Ice Cream Sundae,Ice Cream,12,0,1,12,pieces,51,612,0,Main Course Station,Night,Frozen,17,30,06-Jul-24,05-Aug-24,Urban Harvest,25,Rainy,FALSE,Los Angeles - Downtown,James,Chef John,,
316,21-Apr-25,17:30,Monday,Fish Fingers,Mixed Veg,41,0,4,38,kg,64,2624,0,Soup Station,Morning,Boiled,29,3,16-Apr-25,19-Apr-25,SpiceKart Foods,35,Hot,FALSE,New York - Main,Robert,Chef David,,
317,28-Apr-24,17:15,Sunday,Spicy Chicken Wings,Chicken,41,2,5,37,kg,241,9881,482,Main Course Station,Afternoon,Grilled,11,2,25-Apr-24,27-Apr-24,FreshFarm Co.,25,Cloudy,FALSE,Los Angeles - Downtown,James,Chef David,,
318,25-Mar-24,08:15,Monday,Tomato Soup,Tomato,36,7,5,28,kg,48,1728,336,Main Course Station,Morning,Boiled,27,5,24-Mar-24,29-Mar-24,SpiceKart Foods,18,Cold,FALSE,Houston - Central,Emily,Chef Lee,,
319,07-Jan-25,16:15,Tuesday,Chocolate Milkshake,Milk,6,1,0,4,liters,53,318,53,Grill Station,Night,Boiled,44,4,02-Jan-25,06-Jan-25,Urban Harvest,18,Cold,FALSE,New York - Main,Robert,Chef Maria,,
320,18-Jun-24,19:30,Tuesday,Paneer Butter Masala,Paneer,45,4,6,40,kg,299,13455,1196,Salad Station,Afternoon,Fried,28,3,14-Jun-24,17-Jun-24,SpiceKart Foods,20,Rainy,TRUE,Los Angeles - Downtown,James,Chef Maria,,
321,18-Apr-24,06:00,Thursday,Paneer Butter Masala,Paneer,27,7,3,17,kg,293,7911,2051,Main Course Station,Morning,Fried,39,3,16-Apr-24,19-Apr-24,FreshFarm Co.,35,Hot,FALSE,Houston - Central,Emily,Chef Maria,,
322,17-Mar-25,12:00,Monday,Ice Cream Sundae,Ice Cream,30,6,3,24,pieces,50,1500,300,Main Course Station,Morning,Frozen,22,30,14-Mar-25,13-Apr-25,DailyDairy Ltd.,28,Hot,TRUE,New York - Main,Robert,Chef David,,
323,28-Jun-24,14:00,Friday,Tacos,Mixed Veg,32,8,3,21,kg,70,2240,560,Pastry Station,Morning,Boiled,19,3,27-Jun-24,30-Jun-24,SpiceKart Foods,30,Sunny,FALSE,Houston - Central,Emily,Chef Maria,,
324,05-Jan-24,10:00,Friday,Mushroom Soup,Tomato,19,4,1,14,kg,49,931,196,Grill Station,Morning,Boiled,50,5,29-Dec-23,03-Jan-24,GreenLeaf Suppliers,28,Sunny,FALSE,New York - Main,Robert,Chef David,,
325,25-Oct-24,14:45,Friday,Apple Pie,Mixed Veg,46,7,6,36,kg,71,3266,497,Pastry Station,Night,Boiled,36,3,24-Oct-24,27-Oct-24,Urban Harvest,24,Cloudy,FALSE,New York - Main,Robert,Chef Anna,,
326,06-Nov-24,21:30,Wednesday,Smoothie,Mixed Berries,20,4,2,16,grams,281,5620,1124,Main Course Station,Night,Raw,56,3,02-Nov-24,05-Nov-24,SpiceKart Foods,35,Hot,FALSE,New York - Main,Robert,Chef Lee,,
327,08-May-24,19:45,Wednesday,Cheesecake,Cheese,50,14,7,35,grams,219,10950,3066,Soup Station,Afternoon,Raw,17,10,03-May-24,13-May-24,FreshFarm Co.,24,Rainy,TRUE,Houston - Central,Emily,Chef David,,
328,26-Oct-24,08:15,Saturday,Grilled Chicken,Chicken,5,1,0,1,kg,243,1215,243,Salad Station,Night,Grilled,60,2,23-Oct-24,25-Oct-24,FreshFarm Co.,35,Hot,FALSE,Los Angeles - Downtown,James,Chef Anna,,
329,25-Aug-24,22:45,Sunday,Pasta Alfredo,Pasta,14,3,1,8,kg,113,1582,339,Grill Station,Morning,Boiled,39,365,20-Aug-24,20-Aug-25,SpiceKart Foods,31,Hot,FALSE,Los Angeles - Downtown,James,Chef David,,
330,11-Aug-24,09:30,Sunday,Chocolate Milkshake,Milk,7,1,0,5,liters,50,350,50,Grill Station,Afternoon,Boiled,43,4,08-Aug-24,12-Aug-24,GreenLeaf Suppliers,31,Hot,FALSE,Houston - Central,Emily,Chef Maria,,
331,08-Mar-25,07:30,Saturday,Mushroom Soup,Tomato,27,5,2,20,kg,48,1296,240,Main Course Station,Afternoon,Boiled,54,5,02-Mar-25,07-Mar-25,Urban Harvest,29,Hot,FALSE,New York - Main,Robert,Chef David,,
332,04-Mar-25,19:00,Tuesday,Tacos,Mixed Veg,43,11,4,31,kg,77,3311,847,Main Course Station,Night,Boiled,14,3,25-Feb-25,28-Feb-25,FreshFarm Co.,31,Sunny,TRUE,New York - Main,Robert,Chef David,,
333,25-Feb-25,20:45,Tuesday,Spicy Chicken Wings,Chicken,44,8,6,35,kg,246,10824,1968,Main Course Station,Night,Grilled,59,2,18-Feb-25,20-Feb-25,SpiceKart Foods,26,Rainy,TRUE,Houston - Central,Emily,Chef Anna,,
334,23-Apr-25,11:15,Wednesday,Pasta Alfredo,Pasta,25,0,2,23,kg,105,2625,0,Soup Station,Morning,Boiled,33,365,22-Apr-25,22-Apr-26,SpiceKart Foods,30,Hot,FALSE,Houston - Central,Emily,Chef Anna,,
335,27-Nov-24,09:30,Wednesday,Chicken Biryani,Chicken,22,3,2,16,kg,253,5566,759,Salad Station,Night,Grilled,29,2,25-Nov-24,27-Nov-24,SpiceKart Foods,31,Sunny,FALSE,Houston - Central,Emily,Chef Maria,,
336,19-Mar-24,06:30,Tuesday,Veg Fried Rice,Rice,35,4,3,31,kg,86,3010,344,Main Course Station,Morning,Boiled,11,180,18-Mar-24,14-Sep-24,DailyDairy Ltd.,22,Cloudy,FALSE,Houston - Central,Emily,Chef Maria,,
